year,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name
2024,34.3397982279,-118.0539378851,Los Angeles,California,United States,Anaxyrus californicus
2024,31.0059361111,-115.6159888889,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,33.2486689572,-117.3653403187,San Diego,California,United States,Anaxyrus californicus
2024,30.9124327033,-115.7676598003,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,34.565546067,-119.0529933898,Ventura,California,United States,Anaxyrus californicus
2024,30.9328005519,-115.7469425077,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,33.9924607401,-117.6694609104,Orange,California,United States,Anaxyrus californicus
2024,30.91743,-115.6463216667,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,30.91738,-115.6462466667,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,32.1904158806,-116.0259313755,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,31.0941997997,-115.6241748,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,31.0945162997,-115.622512,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,34.3042350447,-117.3097792583,San Bernardino,California,United States,Anaxyrus californicus
2024,34.561788246,-119.1445550725,Ventura,California,United States,Anaxyrus californicus
2024,34.4336692194,-119.1397443426,Ventura,California,United States,Anaxyrus californicus
2024,34.4934973519,-119.0994686803,Ventura,California,United States,Anaxyrus californicus
2024,34.4468440035,-119.1369330347,Ventura,California,United States,Anaxyrus californicus
2024,30.9173800023,-115.6460033333,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,30.8886113598,-115.7012527312,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,30.819398918,-115.6844355587,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,34.227685743,-118.1040099906,Los Angeles,California,United States,Anaxyrus californicus
2024,34.2392736099,-118.1906025412,Los Angeles,California,United States,Anaxyrus californicus
2024,32.0372778423,-116.7722783333,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
